epoch;concept_hits@10@10;concept_hits@1@1;concept_hits@3@3;concept_hits@5@5;concept_loss;concept_mrr;loss;task_hits@10@10;task_hits@1@1;task_hits@3@3;task_hits@5@5;task_loss;task_mrr;val_concept_hits@10@10;val_concept_hits@1@1;val_concept_hits@3@3;val_concept_hits@5@5;val_concept_loss;val_concept_mrr;val_loss;val_task_hits@10@10;val_task_hits@1@1;val_task_hits@3@3;val_task_hits@5@5;val_task_loss;val_task_mrr
0;1.0;0.32900431752204895;1.0;1.0;1.5445371866226196;0.6096681356430054;3.3430936336517334;1.0;0.32900431752204895;1.0;1.0;5.141650199890137;0.5992063879966736;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1.0;0.3181818127632141;1.0;1.0;1.5572131872177124;0.6053391695022583;3.3494317531585693;1.0;0.31385281682014465;1.0;1.0;5.141650199890137;0.6284271478652954;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;1.0;0.3333333432674408;1.0;1.0;1.5556217432022095;0.6085858345031738;3.3486359119415283;1.0;0.33549782633781433;1.0;1.0;5.141650199890137;0.6035353541374207;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;1.0;0.30519479513168335;1.0;1.0;1.5463881492614746;0.5984848737716675;3.3440191745758057;1.0;0.3722943663597107;1.0;1.0;5.141650199890137;0.6507936120033264;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;1.0;0.3398268520832062;1.0;1.0;1.545194387435913;0.6168830990791321;3.3434224128723145;1.0;0.3419913351535797;1.0;1.0;5.141650199890137;0.6154400706291199;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;1.0;0.3333333432674408;1.0;1.0;1.5510327816009521;0.612554132938385;3.346341371536255;1.0;0.28354978561401367;1.0;1.0;5.141650199890137;0.5945165753364563;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;1.0;0.3160173296928406;1.0;1.0;1.5597153902053833;0.6013709306716919;3.3506827354431152;1.0;0.3268398344516754;1.0;1.0;5.141650199890137;0.5923521518707275;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;1.0;0.3636363744735718;1.0;1.0;1.5453145503997803;0.6215729117393494;3.343482494354248;1.0;0.3398268520832062;1.0;1.0;5.141650199890137;0.6186869144439697;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;1.0;0.350649356842041;1.0;1.0;1.536507487297058;0.6240981221199036;3.339078903198242;1.0;0.3658008575439453;1.0;1.0;5.141650199890137;0.5966811180114746;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;1.0;0.3008657991886139;1.0;1.0;1.5551652908325195;0.594877302646637;3.348407745361328;1.0;0.3160173296928406;1.0;1.0;5.141650199890137;0.6085858941078186;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
